"'DATE","'START KM","'STARTING POINT","'DESTINATION","'END KM","'TOTAL KM","'AB KMs","'BC KMs","'SK KMs","'MB KMs","'ON KMs","'QC KMs","'YT KMs","'AB Fuel","'BC Fuel","'SK Fuel","'MB Fuel","'ON Fuel","'QC Fuel",
"'02/5/22","'771515","'Abbotsford, BC","'Valemount, BC","'772250","'735","'","'735","'","'","'","'","'","'","'550","'","'","'","'",
"'03/5/22","'772250","'Valemount, BC","'Nisku, AB","'772750","'500","'450","'50","'","'","'","'","'","'688","'","'","'","'","'",
"'04/5/22","'772750","'nisku to grande prairie","'Nisku, AB","'773800","'1050","'1050","'","'","'","'","'","'","'","'","'","'","'","'",
"'05/5/22","'773800","'Nisku, AB","'Dawson Creek, BC","'774430","'630","'550","'80","'","'","'","'","'","'690","'","'","'","'","'",
"'06/5/22","'774430","'Fort St. Jhon, BC","'Nisku, AB","'775250","'820","'600","'220","'","'","'","'","'","'500","'","'","'","'","'",
"'09/5/22","'775250","'nisku to grande prairie","'Nisku, AB","'776280","'1030","'1030","'","'","'","'","'","'","'500","'","'","'","'","'",
"'10/5/22","'776280","'nisku to grande prairie","'Nisku, AB","'777300","'1020","'1020","'","'","'","'","'","'","'500","'","'","'","'","'",
"'11/5/22","'777300","'Nisku, AB","'Chetwynd, BC","'778050","'750","'600","'150","'","'","'","'","'","'","'","'","'","'","'",
"'12/5/22","'778050","'Chetwynd, BC","'Nisku, AB","'778950","'900","'700","'200","'","'","'","'","'","'600","'","'","'","'","'",
"'15/5/22","'778950","'Nisku, AB","'Prince George, BC","'779750","'800","'450","'350","'","'","'","'","'","'","'","'","'","'","'",
"'16/5/22","'779750","'Prince George, BC","'Nisku, AB","'780650","'900","'550","'350","'","'","'","'","'","'","'600","'","'","'","'",
"'20/5/22","'780650","'Nisku to Whitecourt","'Nisku, AB","'781080","'430","'430","'","'","'","'","'","'","'680","'","'","'","'","'",
"'23/5/22","'781080","'Nisku, AB","'Chetwynd, BC","'781850","'770","'600","'170","'","'","'","'","'","'250","'","'","'","'","'",
"'24/5/22","'781850","'Chetwynd, BC","'Nisku, AB","'782700","'850","'650","'200","'","'","'","'","'","'624","'","'","'","'","'",
"'25/5/22","'782700","'Nisku, AB","'Hope, BC","'783750","'1050","'450","'600","'","'","'","'","'","'","'","'","'","'","'",
"'26/5/22","'783750","'Hope to Surrey","'Barriere, BC","'784330","'580","'","'580","'","'","'","'","'","'","'620","'","'","'","'",
"'27/5/22","'784330","'Barrier to Lacombe","'Nisku, AB","'785380","'1050","'750","'300","'","'","'","'","'","'600","'","'","'","'","'",
"'30/5/22","'785380","'Nisku, AB","'Hope, BC","'786430","'1050","'450","'600","'","'","'","'","'","'310","'","'","'","'","'",
"'31/5/22","'786430","'Hope to Surrey","'Valemount, BC","'787270","'840","'","'840","'","'","'","'","'","'","'600","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'90.72265625","'91.79687500","'94.18945313","'94.33593750","'89.99023438","'93.50585938","'89.64843750","'89.89257813","'90.23437500","'92.67578125","'92.62695313","'88.96484375","'92.04101563","'90.47851563","'90.57617188","'81.88476563","'89.59960938","'91.06445313","'90.18554688",
"'85.74218750","'86.76757813","'89.01367188","'89.16015625","'85.05859375","'88.42773438","'84.76562500","'84.96093750","'85.30273438","'87.59765625","'87.54882813","'84.13085938","'87.01171875","'85.54687500","'85.59570313","'77.44140625","'84.71679688","'86.13281250","'85.25390625",
"'88.52539063","'89.59960938","'91.89453125","'92.04101563","'87.84179688","'91.25976563","'87.50000000","'87.74414063","'88.03710938","'90.42968750","'90.38085938","'86.86523438","'89.84375000","'88.28125000","'88.37890625","'79.93164063","'87.45117188","'88.91601563","'87.98828125",
"'87.25585938","'88.28125000","'90.57617188","'90.72265625","'86.57226563","'89.94140625","'86.23046875","'86.47460938","'86.76757813","'89.11132813","'89.06250000","'85.59570313","'88.52539063","'87.01171875","'87.10937500","'78.75976563","'86.18164063","'87.59765625","'86.76757813",
"'88.62304688","'89.69726563","'91.99218750","'92.13867188","'87.89062500","'91.35742188","'87.59765625","'87.84179688","'88.13476563","'90.52734375","'90.47851563","'86.91406250","'89.89257813","'88.37890625","'88.47656250","'80.02929688","'87.54882813","'88.96484375","'88.08593750",
"'88.03710938","'89.06250000","'91.40625000","'91.55273438","'87.30468750","'90.77148438","'87.01171875","'87.25585938","'87.54882813","'89.89257813","'89.89257813","'86.37695313","'89.30664063","'87.79296875","'87.89062500","'79.49218750","'86.96289063","'88.37890625","'87.50000000",
"'88.91601563","'89.99023438","'92.33398438","'92.48046875","'88.23242188","'91.69921875","'87.89062500","'88.13476563","'88.47656250","'90.82031250","'90.82031250","'87.25585938","'90.23437500","'88.72070313","'88.76953125","'80.27343750","'87.84179688","'89.30664063","'88.42773438",
"'87.98828125","'89.06250000","'91.35742188","'91.50390625","'87.30468750","'90.72265625","'86.96289063","'87.20703125","'87.50000000","'89.89257813","'89.84375000","'86.32812500","'89.25781250","'87.74414063","'87.84179688","'79.44335938","'86.91406250","'88.33007813","'87.45117188",
"'88.42773438","'89.50195313","'91.79687500","'91.94335938","'87.74414063","'91.16210938","'87.40234375","'87.64648438","'87.98828125","'90.33203125","'90.28320313","'86.76757813","'89.74609375","'88.18359375","'88.28125000","'79.83398438","'87.35351563","'88.81835938","'87.93945313",
"'88.13476563","'89.20898438","'91.55273438","'91.69921875","'87.45117188","'90.86914063","'87.15820313","'87.35351563","'87.69531250","'90.03906250","'89.99023438","'86.47460938","'89.45312500","'87.93945313","'88.03710938","'79.58984375","'87.10937500","'88.52539063","'87.64648438",
"'88.76953125","'89.84375000","'92.13867188","'92.28515625","'88.03710938","'91.50390625","'87.74414063","'87.93945313","'88.28125000","'90.67382813","'90.62500000","'87.06054688","'90.03906250","'88.52539063","'88.62304688","'80.12695313","'87.69531250","'89.11132813","'88.23242188",
"'88.76953125","'89.84375000","'92.13867188","'92.28515625","'88.03710938","'91.50390625","'87.74414063","'87.93945313","'88.28125000","'90.67382813","'90.62500000","'87.06054688","'90.03906250","'88.52539063","'88.62304688","'80.12695313","'87.69531250","'89.11132813","'88.23242188",
"'87.93945313","'89.01367188","'91.30859375","'91.45507813","'87.25585938","'90.67382813","'86.91406250","'87.15820313","'87.45117188","'89.84375000","'89.79492188","'86.27929688","'89.20898438","'87.69531250","'87.79296875","'79.39453125","'86.86523438","'88.28125000","'87.40234375",
"'88.18359375","'89.25781250","'91.60156250","'91.69921875","'87.50000000","'90.91796875","'87.20703125","'87.40234375","'87.74414063","'90.08789063","'90.03906250","'86.52343750","'89.50195313","'87.98828125","'88.08593750","'79.63867188","'87.15820313","'88.57421875","'87.69531250",
"'87.69531250","'88.76953125","'91.06445313","'91.21093750","'87.01171875","'90.42968750","'86.66992188","'86.91406250","'87.25585938","'89.59960938","'89.55078125","'86.03515625","'89.01367188","'87.45117188","'87.54882813","'79.19921875","'86.62109375","'88.08593750","'87.20703125",
"'87.74414063","'88.81835938","'91.11328125","'91.25976563","'87.06054688","'90.47851563","'86.71875000","'86.96289063","'87.30468750","'89.64843750","'89.59960938","'86.08398438","'89.06250000","'87.50000000","'87.59765625","'79.24804688","'86.66992188","'88.13476563","'87.25585938",
"'87.98828125","'89.06250000","'91.35742188","'91.50390625","'87.30468750","'90.72265625","'86.96289063","'87.20703125","'87.50000000","'89.89257813","'89.84375000","'86.32812500","'89.25781250","'87.74414063","'87.84179688","'79.44335938","'86.91406250","'88.33007813","'87.45117188",
"'87.98828125","'89.06250000","'91.35742188","'91.50390625","'87.30468750","'90.72265625","'86.96289063","'87.20703125","'87.50000000","'89.89257813","'89.84375000","'86.32812500","'89.25781250","'87.74414063","'87.84179688","'79.44335938","'86.91406250","'88.33007813","'87.45117188",
"'88.13476563","'89.20898438","'91.55273438","'91.69921875","'87.45117188","'90.86914063","'87.15820313","'87.35351563","'87.69531250","'90.03906250","'89.99023438","'86.47460938","'89.45312500","'87.93945313","'88.03710938","'79.58984375","'87.10937500","'88.52539063","'87.64648438",
"'87.59765625","'88.67187500","'90.96679688","'91.11328125","'86.91406250","'90.33203125","'86.62109375","'86.81640625","'87.15820313","'89.50195313","'89.45312500","'85.93750000","'88.91601563","'87.40234375","'87.45117188","'79.10156250","'86.57226563","'87.98828125","'87.10937500",
"'88.18359375","'89.25781250","'91.60156250","'91.69921875","'87.50000000","'90.91796875","'87.20703125","'87.40234375","'87.74414063","'90.08789063","'90.03906250","'86.52343750","'89.50195313","'87.98828125","'88.08593750","'79.63867188","'87.15820313","'88.57421875","'87.69531250",
"'85.35156250","'86.37695313","'88.62304688","'88.76953125","'84.66796875","'87.98828125","'84.37500000","'84.57031250","'84.91210938","'87.15820313","'87.10937500","'83.74023438","'86.57226563","'85.10742188","'85.20507813","'77.05078125","'84.32617188","'85.69335938","'84.86328125",
"'86.66992188","'87.69531250","'89.99023438","'90.13671875","'85.98632813","'89.35546875","'85.64453125","'85.88867188","'86.18164063","'88.52539063","'88.47656250","'85.00976563","'87.93945313","'86.42578125","'86.52343750","'78.22265625","'85.59570313","'87.01171875","'86.18164063",
"'87.01171875","'88.08593750","'90.38085938","'90.47851563","'86.32812500","'89.69726563","'86.03515625","'86.23046875","'86.57226563","'88.91601563","'88.86718750","'85.40039063","'88.28125000","'86.81640625","'86.86523438","'78.56445313","'85.98632813","'87.40234375","'86.52343750",
"'86.52343750","'87.54882813","'89.84375000","'89.99023438","'85.83984375","'89.20898438","'85.54687500","'85.74218750","'86.08398438","'88.37890625","'88.33007813","'84.86328125","'87.79296875","'86.27929688","'86.37695313","'78.12500000","'85.49804688","'86.86523438","'86.03515625",
"'86.18164063","'87.25585938","'89.50195313","'89.64843750","'85.54687500","'88.86718750","'85.20507813","'85.44921875","'85.74218750","'88.03710938","'88.03710938","'84.57031250","'87.45117188","'85.98632813","'86.08398438","'77.83203125","'85.15625000","'86.57226563","'85.69335938",
